Variable,Units,Description
index,unitless,Unique number for indexing
Date,mm/dd/yy,Date of measurement
Year,unitless,Year of measurement
Day,unitless,Day of year of measurement
Location,unitless,Location of measurement
Lat,¡,Latitude
Lon,¡,Longitude
Genus,unitless,Genus of individual
Species,unitless,Species of individual
Rep,unitless,Repitition of species within a location
Phenology,unitless,Indicator of deciduousness of individual (evergreen or nonevergreen)
Lifespan,unitless,Indicator of the length of lifespan of individual (annual or perennial)
Photosynthesis,unitless,Photosynthetic pathway used by individaul (C3 or C4)
Stature,unitless,Indicator of stature of individual (tree or non-tree)
Juvenile,unitless,Indicator of juvenile status (Y = juvenile tree); note: all non-trees are indicated as non-juveniles
Vcmax,µmol/m2/s,Maximum rate of Rubisco carboxylation at Tleaf_photo
Jmax,µmol/m2/s,Maximum rate of electron tranport for RuBP regeneration at Tleaf_photo
Vpmax,µmol/m2/s,Maximum rate of PEPc carboxylation at Tleaf_photo
Rd,µmol/m2/s,Leaf dark respiration at Tleaf_photo
Tleaf_photo,¡C,Leaf temperature for photosynthetic measurements
Tleaf_R,¡C,Leaf temperature for respiration measurements
LA,cm2,Leaf area
LM,g,Leaf mass
CN,g/g,Leaf carbonto nitrogen ratio
Nper,%,Leaf nitrogen content
Cper,%,Leaf carbon content
LWP_MPa,Mpa,Leaf pre-dawn water potential
DBH,m,Diameter at breast height (trees only)
Height,cm,Height of individual (non-trees only)
SMper,%,Soil moisture at base of individual at 0-10 cm soil depth
FCper,%,Field capcacity of soil at site (Saxton and Rawls 2006)
Satper,%,Soil saturation at site (Saxton and Rawls 2006)
Tavg1,¡C,Average temperature on the day of measurement
Tavg2,¡C,Average temperature on the day of and n days prior to measuremet; n = 1
Tavg3,¡C,Average temperature on the day of and n days prior to measuremet; n = 2
Tavg4,¡C,Average temperature on the day of and n days prior to measuremet; n = 3
Tavg5,¡C,Average temperature on the day of and n days prior to measuremet; n = 4
Tavg6,¡C,Average temperature on the day of and n days prior to measuremet; n = 5
Tavg7,¡C,Average temperature on the day of and n days prior to measuremet; n = 6
Tavg8,¡C,Average temperature on the day of and n days prior to measuremet; n = 7
Tavg9,¡C,Average temperature on the day of and n days prior to measuremet; n = 8
