"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,3.25869288184963,0.0768250500637175,290,0.953941379938103,1.21,16.479,0.5,7.2,23.13,25.12,21.88,399.24,366.22,13.429,21.962,46.32,75.02,300.1,1800,97.07,"GR_Pmar_2"
"2",2,2.23557254687784,0.0699071545603495,220,0.892044420171127,1.24,16.479,0.5,7.2,22.96,24.9,21.88,300.12,277.4,13.285,21.283,45.84,73.43,300.1,1800,97.07,"GR_Pmar_2"
"3",3,1.29619515747315,0.066266156926998,151,0.859275441470963,1.26,16.479,0.5,7.2,22.93,24.86,21.88,199.96,186.63,13.345,21.031,46.13,72.7,300.1,1800,97.07,"GR_Pmar_2"
"4",4,0.277808119424722,0.0611687602403059,87.2,0.819224467504096,1.3,16.479,0.5,7.2,23.07,24.9,22.08,99.88,96.61,13.382,20.74,45.88,71.12,300.1,1800,97.07,"GR_Pmar_2"
"5",5,-0.148552703440743,0.0527944656835973,55.2,0.750045512470417,1.37,16.479,0.5,7.2,23.08,25.01,22.08,50.89,51.9,13.587,20.31,46.9,69.58,300.1,1800,97.07,"GR_Pmar_2"
"6",6,3.96868742035318,0.04733296923357,218,0.706353540870199,1.43,16.479,0.5,7.2,23.25,25.09,22.28,399.47,360.82,13.499,19.837,45.77,67.26,300.1,1800,97.07,"GR_Pmar_2"
"7",7,3.21864190788276,0.0433278718368833,238,0.659020571636629,1.46,16.479,0.5,7.2,23.26,25.13,22.28,398.37,366.7,13.781,19.685,47.1,66.7,300.1,1800,97.07,"GR_Pmar_2"
"8",8,5.27944656835973,0.0400509739668669,324,0.618969597669762,1.48,16.479,0.5,7.2,22.97,24.99,21.88,600.07,548.69,13.632,19.191,47.01,66.18,300.1,1800,97.07,"GR_Pmar_2"
"9",9,6.91789550336792,0.0371381758601857,417,0.582559621336246,1.51,16.479,0.5,7.2,22.97,24.98,21.88,800.67,733.58,13.713,18.947,47.3,65.35,300.1,1800,97.08,"GR_Pmar_2"
"10",10,7.97378481703987,0.0342253777535045,528,0.549790642636082,1.54,16.479,0.5,7.2,22.98,25.02,21.88,1000.71,923.22,13.814,18.757,47.61,64.65,300.1,1800,97.08,"GR_Pmar_2"
"11",11,8.70198434371018,0.0318951392681595,650,0.52066266156927,1.56,16.479,0.5,7.2,22.99,25.03,21.88,1199.1,1114.18,13.937,18.61,48.01,64.12,300.1,1800,97.08,"GR_Pmar_2"
"12",12,9.9399235390497,0.0300382304751502,839,0.495175678135809,1.58,16.479,0.5,7.2,22.98,25.02,21.88,1500.26,1403,13.992,18.445,48.24,63.59,300.1,1800,97.08,"GR_Pmar_2"
