"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,7.82950819672131,0.11527868852459,228,1.6327868852459,1.4,15.25,0.5,7.2,25.08,24.54,25.4,400.64,347.21,8.171,18.365,24.94,56.07,399.8,1800,97.47,"GR_Abal_3"
"2",2,5.31147540983607,0.10072131147541,171,1.54229508196721,1.51,15.25,0.5,7.2,26.22,24.9,26.98,299.9,263.51,8.53,18.157,24.62,51.76,399.9,1800,97.47,"GR_Abal_3"
"3",3,2.97049180327869,0.0912786885245902,122,1.47147540983607,1.58,15.25,0.5,7.2,26.21,25.17,26.78,200.5,179.93,8.852,18.029,25.66,51.44,399.9,1800,97.47,"GR_Abal_3"
"4",4,0.790819672131147,0.0834098360655738,75.8,1.37704918032787,1.61,15.25,0.5,7.2,25.93,25.11,26.39,99.56,93.7,9.043,17.632,26.62,51.14,399.8,1800,97.47,"GR_Abal_3"
"5",5,-0.201049180327869,0.0782950819672131,53.4,1.32196721311475,1.64,15.25,0.5,7.2,25.8,25.13,26.19,49.79,50.64,9.109,17.364,26.9,50.75,399.8,1800,97.47,"GR_Abal_3"
"6",6,6.45245901639344,0.0731803278688525,205,1.23934426229508,1.65,15.25,0.5,7.2,25.33,24.91,25.6,400.95,357.14,9.185,16.921,27.61,50.87,399.8,1800,97.47,"GR_Abal_3"
"7",7,6.05901639344262,0.0692459016393443,207,1.18819672131148,1.67,15.25,0.5,7.2,25.33,24.93,25.6,398.98,357.69,9.405,16.831,28.63,50.61,399.9,1800,97.47,"GR_Abal_3"
"8",8,9.40327868852459,0.0649180327868853,289,1.14098360655738,1.7,15.25,0.5,7.2,25.33,24.92,25.6,600.33,536.58,9.364,16.496,28.15,49.6,399.8,1800,97.47,"GR_Abal_3"
"9",9,12.0786885245902,0.0582295081967213,364,1.0583606557377,1.76,15.25,0.5,7.2,25.34,24.97,25.6,799.92,718.2,9.487,16.102,28.5,48.37,399.8,1800,97.48,"GR_Abal_3"
"10",10,14.1245901639344,0.052327868852459,445,0.979672131147541,1.81,15.25,0.5,7.2,25.36,25.03,25.6,998.94,903.57,9.613,15.745,28.85,47.25,399.8,1800,97.48,"GR_Abal_3"
"11",11,15.8950819672131,0.048,529,0.920655737704918,1.85,15.25,0.5,7.2,25.38,25.07,25.6,1198.49,1091.11,9.725,15.484,29.15,46.42,399.8,1800,97.49,"GR_Abal_3"
"12",12,18.1377049180328,0.0444590163934426,685,0.869508196721311,1.89,15.25,0.5,7.2,25.4,25.13,25.6,1499.62,1376.81,9.849,15.299,29.49,45.81,399.8,1800,97.48,"GR_Abal_3"
"13",13,20.0655737704918,0.0413114754098361,1030,0.818360655737705,1.91,15.25,0.5,7.2,25.26,25.1,25.4,1999.03,1861.74,9.984,15.098,30.14,45.58,399.8,1800,97.48,"GR_Abal_3"
