"","Photo","Cond","Ci","Trmmol","VPD","SetLA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",7.09,0.113,269,2,1.81,6,0.5,2.25,21.48,26.2,19.26,398.92,383.21,12.17,16.11,47.23,62.52,300.1,1799,99.77,"Auburn_Mvir_5"
"2",5.3,0.122,208,2.05,1.73,6,0.5,2.25,21.07,25.86,18.86,300.02,288.24,12.124,16.166,48.24,64.32,300.1,1799,99.77,"Auburn_Mvir_5"
"3",3.31,0.149,150,2.36,1.64,6,0.5,2.25,20.93,25.67,18.73,199.78,192.27,12.116,16.751,48.63,67.22,300.1,1799,99.77,"Auburn_Mvir_5"
"4",0.839,0.187,87.5,2.77,1.56,6,0.5,2.25,20.91,25.57,18.71,99.72,97.5,11.907,17.341,47.85,69.68,300.1,1800,99.76,"Auburn_Mvir_5"
"5",-0.571,0.219,53.9,3.13,1.53,6,0.5,2.25,20.9,25.48,18.71,49.86,50.68,11.334,17.485,45.57,70.3,300.1,1800,99.76,"Auburn_Mvir_5"
"6",7.76,0.225,314,3.19,1.52,6,0.5,2.25,20.94,25.49,18.75,400.32,382.37,11.307,17.581,45.34,70.51,300.1,1799,99.76,"Auburn_Mvir_5"
"7",7.84,0.176,297,2.75,1.64,6,0.5,2.25,20.99,25.64,18.81,400.35,382.58,11.266,16.668,45.06,66.68,300.1,1800,99.75,"Auburn_Mvir_5"
"8",9.69,0.105,410,1.92,1.86,6,0.5,2.25,21.07,25.94,18.89,600.32,578.72,11.253,15.04,44.76,59.84,300.1,1800,99.74,"Auburn_Mvir_5"
"9",10.3,0.0627,487,1.27,2.02,6,0.5,2.25,21.12,26.1,18.94,799.73,777.17,11.237,13.74,44.58,54.52,300.1,1800,99.74,"Auburn_Mvir_5"
"10",10.1,0.0411,553,0.883,2.13,6,0.5,2.25,21.18,26.22,19.01,1000.19,978.29,11.207,12.949,44.28,51.16,300.1,1800,99.73,"Auburn_Mvir_5"
"11",10.2,0.0316,624,0.699,2.18,6,0.5,2.25,21.24,26.29,19.07,1200.6,1178.56,11.169,12.548,43.98,49.41,300.1,1800,99.73,"Auburn_Mvir_5"
"12",12.6,0.0314,781,0.698,2.19,6,0.5,2.25,21.27,26.35,19.1,1499.41,1472.13,11.15,12.529,43.81,49.23,300.1,1799,99.73,"Auburn_Mvir_5"
"13",14.2,0.0286,1110,0.644,2.22,6,0.5,2.25,21.36,26.44,19.18,1999.83,1968.89,11.149,12.421,43.57,48.54,300.1,1799,99.73,"Auburn_Mvir_5"
