"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,11.3375324194146,0.190070396443127,269,2.28973693960726,1.24,5.398,0.5,2.25,24.66,25.25,24.06,399.6,377.71,16.267,20.295,51.18,63.85,300.5,1801,98.02,"BNZ_Pgla_6"
"2",2,8.28084475731753,0.184512782512042,203,2.16746943312338,1.2,5.398,0.5,2.25,24.22,25.03,23.52,299.63,283.65,16.456,20.264,53.4,65.45,300.5,1802,98.02,"BNZ_Pgla_6"
"3",3,5.12412004446091,0.185624305298259,139,2.13412374953687,1.18,5.398,0.5,2.25,24.16,24.92,23.52,199.24,189.31,16.498,20.261,53.72,65.67,300.5,1801,98.02,"BNZ_Pgla_6"
"4",4,1.74509077436087,0.186735828084476,77.5,2.13412374953687,1.17,5.398,0.5,2.25,24.38,24.89,23.92,98.62,95.12,16.529,20.276,53.12,64.87,300.5,1799,98.01,"BNZ_Pgla_6"
"5",5,0.00450166728417933,0.186735828084476,48.7,2.15635420526121,1.19,5.398,0.5,2.25,24.44,25.01,23.92,49.93,49.73,16.563,20.357,53.05,64.9,300.5,1799,98.01,"BNZ_Pgla_6"
"6",6,11.0818821785847,0.186735828084476,270,2.17858466098555,1.2,5.398,0.5,2.25,24.38,25.14,23.72,399.25,377.87,16.647,20.479,53.5,65.51,300.5,1800,98.01,"BNZ_Pgla_6"
"7",7,11.0929974064468,0.186735828084476,270,2.17858466098555,1.2,5.398,0.5,2.25,24.37,25.14,23.72,399.31,377.9,16.668,20.5,53.6,65.62,300.5,1800,98.01,"BNZ_Pgla_6"
"8",8,15.8947758429048,0.186735828084476,414,2.14523897739904,1.17,5.398,0.5,2.25,24.21,25.02,23.53,599.27,568.49,16.722,20.489,54.27,66.19,300.5,1801,98,"BNZ_Pgla_6"
"9",9,20.1185624305298,0.186735828084476,564,2.08966283808818,1.15,5.398,0.5,2.25,24.14,24.84,23.52,799.37,760.31,16.741,20.414,54.56,66.23,300.5,1800,98,"BNZ_Pgla_6"
"10",10,23.7865876250463,0.194516487587996,729,2.20081511670989,1.17,5.398,0.5,2.25,24.42,24.96,23.92,1000.33,953.86,16.597,20.478,53,65.35,300.5,1799,98,"BNZ_Pgla_6"
"11",11,24.5646535753983,0.185624305298259,904,2.13412374953687,1.18,5.398,0.5,2.25,24.47,25.07,23.92,1198.09,1149.5,16.792,20.551,53.67,65.39,300.5,1800,98,"BNZ_Pgla_6"
"12",12,27.2323082623194,0.193404964801778,1180,2.20081511670989,1.17,5.398,0.5,2.25,24.47,25.05,23.91,1499.64,1444.95,16.702,20.582,53.22,65.47,300.5,1800,97.99,"BNZ_Pgla_6"
"13",13,28.6772878844016,0.193404964801778,1650,2.14523897739904,1.14,5.398,0.5,2.25,24.5,24.84,24.13,1999.79,1940.74,16.692,20.477,53.01,65.03,300.5,1799,97.99,"BNZ_Pgla_6"
