"","X","Photo","Cond","Ci","Trmmol","VPD","LA","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","Pari","Press","id"
"1",1,3.92116182572614,0.0743331357439241,296,1.15589804386485,1.57,6.748,0.5,2.25,23.97,24.88,23.12,399.37,391.99,13.985,15.907,46.72,53.02,400.1,1801,99.63,"BNZ_Pmar_10"
"2",2,2.90752815649081,0.0748666271487848,224,1.16478956727919,1.57,6.748,0.5,2.25,24.31,24.8,23.9,300.02,294.54,13.878,15.809,45.42,51.61,400.2,1801,99.63,"BNZ_Pmar_10"
"3",3,1.70717249555424,0.0742442205097807,154,1.17368109069354,1.6,6.748,0.5,2.25,24.61,24.93,24.3,199.97,196.7,13.802,15.752,44.38,50.53,400.2,1800,99.63,"BNZ_Pmar_10"
"4",4,0.340545346769413,0.0736218138707765,88.7,1.20035566093657,1.64,6.748,0.5,2.25,24.7,25.14,24.3,99.67,98.89,13.739,15.726,43.92,50.16,400.2,1799,99.62,"BNZ_Pmar_10"
"5",5,-0.256075874333136,0.0732661529342027,54.8,1.20035566093657,1.65,6.748,0.5,2.25,24.39,25.16,23.71,50.14,50.47,13.727,15.712,44.71,51.05,400.2,1799,99.62,"BNZ_Pmar_10"
"6",6,3.85002963841138,0.0722880853586248,296,1.16478956727919,1.62,6.748,0.5,2.25,24.21,25.05,23.51,400.49,393.23,13.789,15.721,45.4,51.64,400.2,1801,99.62,"BNZ_Pmar_10"
"7",7,3.78778897451097,0.0716656787196206,296,1.15589804386485,1.62,6.748,0.5,2.25,24.2,25.04,23.51,399.47,392.32,13.818,15.731,45.52,51.7,400.2,1801,99.62,"BNZ_Pmar_10"
"8",8,5.27267338470658,0.0710432720806165,454,1.13811499703616,1.62,6.748,0.5,2.25,24.2,25.03,23.51,600.24,590.22,13.873,15.764,45.7,51.82,400.2,1800,99.62,"BNZ_Pmar_10"
"9",9,6.63307646710136,0.0702430349733254,613,1.12922347362181,1.62,6.748,0.5,2.25,24.21,25.06,23.51,799.54,786.86,13.92,15.793,45.81,51.86,400.2,1800,99.61,"BNZ_Pmar_10"
"10",10,7.38885595732069,0.0684647302904564,784,1.10254890337878,1.62,6.748,0.5,2.25,24.21,25.09,23.51,999.72,985.43,14.002,15.832,46.08,51.99,400.2,1800,99.61,"BNZ_Pmar_10"
"11",11,7.93123888559573,0.0669531713100178,961,1.07587433313574,1.62,6.748,0.5,2.25,24.22,25.12,23.51,1199.46,1183.93,14.122,15.911,46.44,52.22,400.2,1800,99.61,"BNZ_Pmar_10"
"12",12,8.47362181387077,0.0650859513930053,1230,1.04030823947836,1.6,6.748,0.5,2.25,23.88,25.07,22.92,1498.8,1481.92,14.294,16.013,47.98,53.64,400.2,1800,99.61,"BNZ_Pmar_10"
"13",13,9.15826911677534,0.063841138114997,1700,0.986959098992294,1.55,6.748,0.5,2.25,23.78,24.87,22.92,2000.85,1982.16,14.459,16.099,48.71,54.24,400.2,1800,99.6,"BNZ_Pmar_10"
